"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.096432917E-1,2.850343704E0,1.350047827E0,-2.036286741E-1,3.160467213E0
6.196382917E-1,3.094393015E0,1.405855179E0,-3.163296580E-1,3.413467646E0
6.296332917E-1,3.332046509E0,1.406814456E0,-3.964683414E-1,3.638522777E0
6.396282917E-1,3.552957296E0,1.345783830E0,-4.305775762E-1,3.823615660E0
6.496232917E-1,3.750532150E0,1.222414851E0,-4.204724133E-1,3.967062708E0
6.596182917E-1,3.918735504E0,1.033067584E0,-3.591469824E-1,4.068501338E0
6.696132917E-1,4.055448055E0,7.871878743E-1,-2.538224459E-1,4.138930963E0
6.796082917E-1,4.159319878E0,4.945858717E-1,-1.068297774E-1,4.189984443E0
6.896032917E-1,4.229774475E0,1.675255001E-1,6.960726529E-2,4.233662962E0
6.995982917E-1,4.268526077E0,-1.827438325E-1,2.678516507E-1,4.280824066E0
7.095932917E-1,4.284931183E0,-5.400024652E-1,4.714622796E-1,4.344480934E0
7.195882917E-1,4.280307293E0,-8.919749260E-1,6.694866419E-1,4.423218529E0
7.295832917E-1,4.262636185E0,-1.216212749E0,8.449995518E-1,4.512567444E0
7.395782917E-1,4.231985569E0,-1.501988649E0,9.849966168E-1,4.597378611E0
7.495732917E-1,4.194117546E0,-1.734470010E0,1.075735450E0,4.664355793E0
7.595682917E-1,4.145596027E0,-1.907986403E0,1.114463687E0,4.697702401E0
7.695632917E-1,4.080986500E0,-2.016387224E0,1.093476415E0,4.681448378E0
7.795582917E-1,4.000681400E0,-2.061635017E0,1.014399409E0,4.613544925E0
7.895532917E-1,3.903612137E0,-2.041879892E0,8.846349120E-1,4.493332854E0
7.995482917E-1,3.786807299E0,-1.971479416E0,7.101376653E-1,4.327925150E0
8.095432917E-1,3.647176743E0,-1.863714457E0,5.106223226E-1,4.127476823E0
8.195382917E-1,3.487266779E0,-1.728950262E0,2.930258214E-1,3.903352755E0
8.295332917E-1,3.310540915E0,-1.586928248E0,7.038100809E-2,3.671917197E0
8.395282917E-1,3.117390394E0,-1.445651293E0,-1.487982273E-1,3.439501627E0
8.495232917E-1,2.914662361E0,-1.316646457E0,-3.485557437E-1,3.217189096E0
8.595182917E-1,2.714154720E0,-1.210924029E0,-5.249934196E-1,3.018044225E0
8.695132917E-1,2.523646355E0,-1.129707456E0,-6.620956063E-1,2.843132155E0
8.795082917E-1,2.345224857E0,-1.073941946E0,-7.594460845E-1,2.688901131E0
8.895032917E-1,2.178369761E0,-1.042822957E0,-8.158903718E-1,2.549206079E0
8.994982917E-1,2.017807484E0,-1.038934231E0,-8.307161927E-1,2.416820384E0
9.094932917E-1,1.858460069E0,-1.053962350E0,-8.116785884E-1,2.285504888E0
9.194882917E-1,1.701127172E0,-1.086985350E0,-7.563817501E-1,2.155802439E0
9.294832917E-1,1.535393834E0,-1.135357261E0,-6.743270159E-1,2.025138825E0
9.394782917E-1,1.367927670E0,-1.193645835E0,-5.672463775E-1,1.902047566E0
9.494732917E-1,1.185812235E0,-1.255160213E0,-4.401285648E-1,1.781934614E0
9.594682917E-1,1.000100970E0,-1.312492490E0,-3.040021658E-1,1.677872404E0
9.694632917E-1,8.025155067E-1,-1.363665938E0,-1.593075097E-1,1.590281363E0
9.794582917E-1,5.890815258E-1,-1.398901939E0,-1.228556968E-2,1.517924443E0
9.894532917E-1,3.559969068E-1,-1.415539384E0,1.352706254E-1,1.465873012E0
9.994482917E-1,1.031729057E-1,-1.406565309E0,2.759736776E-1,1.437091537E0
1.009443292E0,-1.781183332E-1,-1.370289803E0,4.097312987E-1,1.441284157E0
1.019438292E0,-4.897220433E-1,-1.301233530E0,5.369300246E-1,1.490412772E0
1.029433292E0,-8.311776519E-1,-1.198893547E0,6.505582333E-1,1.597319017E0
1.039429292E0,-1.191048980E0,-1.065072060E0,7.461984754E-1,1.763459194E0
1.049424292E0,-1.572118521E0,-8.994175196E-1,8.226073980E-1,1.989269074E0
1.059419292E0,-1.966764331E0,-7.100276351E-1,8.751941919E-1,2.266774371E0
1.069414292E0,-2.359437466E0,-5.034077764E-1,9.007905722E-1,2.575225854E0
1.079409292E0,-2.738437176E0,-2.836176157E-1,8.970475197E-1,2.895543364E0
1.089404292E0,-3.093439579E0,-5.417429283E-2,8.622145057E-1,3.211809013E0
1.099399292E0,-3.414797544E0,1.843131185E-1,8.001761436E-1,3.512135455E0
1.109394292E0,-3.696101427E0,4.365949035E-1,7.129327655E-1,3.789466189E0
1.119389292E0,-3.930456638E0,7.057440877E-1,6.089501977E-1,4.039478239E0
1.129384292E0,-4.111709595E0,9.955611229E-1,4.979768395E-1,4.259727535E0
1.139379292E0,-4.242358208E0,1.300105333E0,3.847149909E-1,4.453749282E0
1.149374292E0,-4.329218864E0,1.613251328E0,2.894799709E-1,4.629094348E0
1.159369292E0,-4.373564720E0,1.911321163E0,2.186747640E-1,4.777974006E0
1.169364292E0,-4.380995274E0,2.180037498E0,1.755086929E-1,4.896579049E0
1.179359292E0,-4.350767136E0,2.399564266E0,1.662840396E-1,4.971391527E0
1.189354292E0,-4.288302898E0,2.553099394E0,1.931741685E-1,4.994514443E0
1.199349292E0,-4.197501659E0,2.628127575E0,2.591491938E-1,4.959156484E0
1.209344292E0,-4.078924179E0,2.620347023E0,3.537235558E-1,4.860963005E0
1.219339292E0,-3.944528818E0,2.537062883E0,4.747287929E-1,4.713954083E0
1.229334292E0,-3.793928146E0,2.395050049E0,6.058034301E-1,4.527378194E0
1.239329292E0,-3.633692503E0,2.210311174E0,7.366706133E-1,4.316466180E0
1.249324292E0,-3.472747564E0,2.012095928E0,8.563596606E-1,4.103883227E0
1.259319292E0,-3.318939447E0,1.822276235E0,9.506406188E-1,3.903814457E0
1.269314292E0,-3.179586172E0,1.663873434E0,1.010939717E0,3.728302850E0
1.279309292E0,-3.064930201E0,1.548239470E0,1.032851338E0,3.585752986E0
1.289304292E0,-2.983477831E0,1.475994587E0,1.006561279E0,3.477479777E0
1.299299292E0,-2.936079264E0,1.447427392E0,9.321575761E-1,3.403604743E0
1.309294292E0,-2.917726517E0,1.449713469E0,8.230825067E-1,3.360396105E0
1.319289292E0,-2.917750359E0,1.469167352E0,6.789360046E-1,3.336566193E0
1.329284292E0,-2.924624205E0,1.505537271E0,5.129494071E-1,3.329141978E0
1.339279292E0,-2.926728964E0,1.547153711E0,3.340408802E-1,3.327312781E0
1.349274292E0,-2.914456844E0,1.596943140E0,1.458239406E-1,3.326492253E0
1.359269292E0,-2.872569799E0,1.638852239E0,-3.419828787E-2,3.307365029E0
1.369264292E0,-2.793476820E0,1.671238780E0,-2.018378228E-1,3.261485905E0
1.379259292E0,-2.662577391E0,1.680411220E0,-3.511378467E-1,3.168027464E0
1.389254292E0,-2.482829809E0,1.653386474E0,-4.683713913E-1,3.019520236E0
1.399249292E0,-2.250017405E0,1.576494694E0,-5.484848619E-1,2.801561972E0
1.409244292E0,-1.964911222E0,1.446897030E0,-5.899440646E-1,2.510462333E0
